index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2541,195.3973,4.5980864,0.3788358,0.0,0,9.5888624,0.0,0.025570074,57.07452,9.6729422,454.07166,-9.2343836
2542,195.3975,4.6034837,0.38293907,0.0,0,9.5858622,0.0,0.026055735,57.174072,9.6688776,454.08182,-9.2337799
2543,195.3977,4.6028566,0.38640013,0.0,0,9.5828619,0.0,0.0259625,57.173038,9.6657581,454.09198,-9.2337551
2544,195.3979,4.5962319,0.38975632,0.0,0,9.5798626,0.0,0.026237585,56.962925,9.6630993,454.10214,-9.2338161
2545,195.3981,4.5882411,0.39299572,0.0,0,9.5768623,0.0,0.026706651,56.809883,9.6605167,454.1123,-9.2330589
2546,195.3983,4.5804305,0.3967199,0.0,0,9.573863,0.0,0.026634784,56.796776,9.6580353,454.12247,-9.2328625
2547,195.3985,4.5784039,0.39883247,0.0,0,9.5708628,0.0,0.026859423,56.789227,9.6553211,454.13263,-9.232933
2548,195.3987,4.5890222,0.39886177,0.0,0,9.5678625,0.0,0.027278583,56.883549,9.6514463,454.14279,-9.2325087
2549,195.3989,4.6138959,0.40347373,0.0,0,9.5648623,0.0,0.027186222,57.117443,9.6464777,454.15295,-9.2336912
2550,195.3991,4.6292057,0.40813616,0.0,0,9.5618629,0.0,0.027354995,57.235184,9.6438379,454.16312,-9.2350817
2551,195.3993,4.6269879,0.40707597,0.0,0,9.5588627,0.0,0.027760649,57.299774,9.6419067,454.17328,-9.2349348
2552,195.3995,4.6284618,0.41272324,0.0,0,9.5558624,0.0,0.027855804,57.380409,9.6381054,454.18344,-9.2349672
2553,195.3997,4.6304607,0.41889337,0.0,0,9.5528622,0.0,0.028039962,57.361855,9.6356783,454.19357,-9.2347918
2554,195.3999,4.6190829,0.41773978,0.0,0,9.5498629,0.0,0.028431728,57.139175,9.6331358,454.20374,-9.2339277
